prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance,exact
ising,6,1,177.74358974358975,-1066.4186126648494,0.0010761821614829802,0.0021898152355952953,9.740579827535022e-05,-1066.5965687082426
ising,6,1,185.38461538461542,-1111.3912327080002,0.027809186029040738,18.21740042416387,1.3592683545805446,-1112.4371566605896
ising,6,1,193.02564102564102,-1156.4051275651664,0.049227554973453685,24.44123234869688,1.8087374331242396,-1158.278185308006
ising,6,1,200.66666666666669,-1201.4477979427675,0.06854456099799269,31.45814103034861,2.6920116871301234,-1204.1196043024952
ising,6,1,208.3076923076923,-1246.728551890115,0.06425950373521601,24.12877936200445,1.6387661845746109,-1249.9613706843636
ising,6,1,215.94871794871798,-1292.849155896844,0.05392116868748357,26.642353658726392,1.6014407071083672,-1295.8034475748846
ising,6,1,223.58974358974356,-1336.8184879562907,0.14151669207176665,41.20695202964259,3.380999218233379,-1341.6458031370923
ising,6,1,231.23076923076923,-1383.7611223633942,0.06804637149871395,19.232049372628254,1.3438479690279952,-1387.488409742665
ising,6,1,238.8717948717949,-1428.829016367965,0.13410046450135066,31.91307108318563,2.0108757806623703,-1433.3312432987177
ising,6,1,246.51282051282055,-1475.7188963767237,0.06387877317684787,27.141795518112094,1.6190768962136148,-1479.1742826997956
ising,6,1,254.15384615384616,-1520.9220845902735,0.1266994635098381,42.04099567794789,1.9554461821274691,-1525.0175093787502
ising,6,1,261.7948717948718,-1566.592257213569,0.14066266284367435,35.508514252665314,1.9830873297903635,-1570.8609069363308
ising,6,1,269.43589743589746,-1611.9958057669226,0.2609356177525192,124.44978386677437,9.00472488827154,-1616.7044608336396
